,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
55,550.0,110.66346153846153,0.1,0.001,2.7850600385487714,8.423286126623485e-06,1.776200757999399e-08,2.289010761967829e-06,2.3849129343129965e-05,0.9999542208326587,0.999523131151247,1281573.7477296747,4.256748445966879,4.256748445966879
56,560.0,110.78461538461538,0.1,0.001,2.78515533976837,8.452234029958625e-06,1.8215829334550348e-08,2.3411710201650237e-06,2.3975403520529663e-05,0.999953177675796,0.999520606875211,1281508.3909981695,4.3321619654037695,4.3321619654037695
57,570.0,110.90576923076924,0.1,0.001,2.7852506409370457,8.481281417594034e-06,1.868021659894973e-08,2.3945248331888264e-06,2.4102741740020916e-05,0.9999521106500677,0.999518061334964,1281441.5482932671,4.407998385425896,4.407998385425896
58,580.0,111.02692307692308,0.1,0.001,2.7853459420548035,8.510428631425556e-06,1.9155390336658715e-08,2.4490982443074073e-06,2.4231470509247092e-05,0.9999510192347107,0.9995154880036795,1281373.1858066951,4.484261971897243,4.484261971897243
59,590.0,111.14807692307693,0.1,0.001,2.785441243121648,8.539676014524018e-06,1.964157557976128e-08,2.504915519078465e-06,2.436156778483931e-05,0.9999499029445178,0.9995128873222249,1281303.2690655421,4.560956916174465,4.560956916174465
60,600.0,111.26923076923077,0.1,0.001,2.7855365441375852,8.569023911139228e-06,2.013900149292388e-08,2.562003064742866e-06,2.449369097987049e-05,0.9999487612514547,0.9995102461489915,1281231.7628730822,4.638089473642763,4.638089473642763
61,610.0,111.39038461538462,0.1,0.001,2.785631845102618,8.598472666704126e-06,2.0647901438175943e-08,2.620386388957723e-06,2.4626794199946003e-05,0.9999475936454818,0.9995075853918879,1281158.631334515,4.715662601003256,4.715662601003256
62,620.0,111.51153846153846,0.1,0.001,2.7857271460167525,8.628022627838801e-06,2.116851304051187e-08,2.680093750679832e-06,2.4761869442811836e-05,0.9999463995615412,0.9995048852209383,1281083.8377808433,4.793682373515831,4.793682373515831
63,630.0,111.63269230769231,0.1,0.001,2.785822446879994,8.657674142354518e-06,2.1701078254322035e-08,2.74115110954542e-06,2.4898550533175113e-05,0.9999451784805635,0.999502152956322,1281007.3448337312,4.872153706833382,4.872153706833382
64,640.0,111.75384615384615,0.1,0.001,2.785917747692346,8.687427559257933e-06,2.2245843430661103e-08,2.803586766524478e-06,2.503647893062711e-05,0.9999439298366599,0.9994993957655208,1280929.114340882,4.9510803806029875,4.9510803806029875
65,650.0,111.875,0.1,0.001,2.7860130484538144,8.717283228755058e-06,2.2803059385360963e-08,2.8674290159464104e-06,2.5176625333730934e-05,0.9999426530640795,0.9994965942445426,1280849.1073769748,5.030469227691946,5.030469227691946
66,660.0,111.99615384615385,0.1,0.001,2.7861083491644028,8.747241502255515e-06,2.33729814679948e-08,2.9327064919240543e-06,2.5317967283864505e-05,0.9999413475902814,0.9994937688325806,1280767.2842349652,5.110323850584714,5.110323850584714
67,670.0,112.11730769230769,0.1,0.001,2.7862036498241176,8.77730273237659e-06,2.395586963170257e-08,2.9994479965300127e-06,2.5461464980225932e-05,0.9999400128393711,0.9994909003356296,1280683.6044222105,5.190650872978194,5.190650872978194
68,680.0,112.23846153846154,0.1,0.001,2.786298950432963,8.807467272947432e-06,2.4551988503881845e-08,3.0676837226217966e-06,2.5606432494698697e-05,0.9999386482076458,0.9994880024655994,1280598.0266225154,5.271454747587931,5.271454747587931
69,690.0,112.35961538461538,0.1,0.001,2.7863942509909436,8.837735479013131e-06,2.516160745775578e-08,3.1374440660428834e-06,2.575316800432735e-05,0.999937253087349,0.9994850692622753,1280510.508691356,5.352740860541076,5.352740860541076
70,700.0,112.48076923076923,0.1,0.001,2.786489551498065,8.86810770683904e-06,2.578500068482228e-08,3.2087603385622656e-06,2.5901962604662323e-05,0.9999358268524133,0.9994820949070725,1280421.0076312562,5.434515508818481,5.434515508818481
71,710.0,112.60192307692307,0.1,0.001,2.7865848519543306,8.898584313914804e-06,2.6422447268195314e-08,3.28166323648259e-06,2.6052461731567705e-05,0.9999343688890859,0.9994790864879474,1280329.479609911,5.516783862041848,5.516783862041848
72,720.0,112.72307692307692,0.1,0.001,2.786680152359746,8.929165658958717e-06,2.7074231256843153e-08,3.3561848597724546e-06,2.620495344657076e-05,0.9999328785555495,0.9994760382469955,1280235.8799220398,5.599551991007636,5.599551991007636
73,730.0,112.84423076923076,0.1,0.001,2.786775452714317,8.959852101921871e-06,2.7740641740733765e-08,3.4323575926965853e-06,2.6359087597759165e-05,0.9999313552043079,0.9994729571839287,1280140.1629824957,5.682824852067092,5.682824852067092
74,740.0,112.96538461538461,0.1,0.001,2.786870753018048,8.99064400399235e-06,2.842197292689471e-08,3.510215126025092e-06,2.651546297106304e-05,0.9999297981617439,0.999469831329681,1280042.2822909215,5.766609284019455,5.766609284019455
75,750.0,113.08653846153847,0.1,0.001,2.786966053270943,9.021541727599581e-06,2.911852421639357e-08,3.5897909852560586e-06,2.6673416450476463e-05,0.9999282067575531,0.9994666739399197,1279942.1904374936,5.8509100212662375,5.8509100212662375
76,760.0,113.20769230769231,0.1,0.001,2.787061353473007,9.052545636418557e-06,2.983060028224961e-08,3.6711195432537755e-06,2.6833850148995817e-05,0.9999265803044927,0.9994634669823638,1279839.8390804732,5.93573463930785,5.93573463930785
77,770.0,113.32884615384616,0.1,0.001,2.7871566536242454,9.083656095374052e-06,3.055851114828327e-08,3.754235021489248e-06,2.6996103605106492e-05,0.9999249181183558,0.9994602236595908,1279735.1789516553,6.021088615890488,6.021088615890488
78,780.0,113.45,0.1,0.001,2.7872519537246627,9.114873470645032e-06,3.130257226891063e-08,3.839173915306693e-06,2.716045046810894e-05,0.9999232194694697,0.9994569385019407,1279628.1597942524,6.106978283585,6.106978283585
79,790.0,113.57115384615385,0.1,0.001,2.7873472537742647,9.146198129668908e-06,3.2063104609891887e-08,3.925971716484247e-06,2.732715736243042e-05,0.9999214836482404,0.9994536061802514,1279518.7303922123,6.19341080707324,6.19341080707324
80,800.0,113.6923076923077,0.1,0.001,2.7874425537730545,9.177630441145808e-06,3.284043473004284e-08,4.014665311444305e-06,2.7495878838937764e-05,0.9999197099171924,0.9994502336001789,1279406.838532724,6.280392247250205,6.280392247250205
81,810.0,113.81346153846154,0.1,0.001,2.787537853721038,9.209170775043042e-06,3.363489486391427e-08,4.105292322135125e-06,2.766657804055517e-05,0.9999178975241501,0.9994468214988648,1279292.4309871672,6.3679285370593,6.3679285370593
82,820.0,113.93461538461538,0.1,0.001,2.78763315361822,9.240819502599315e-06,3.444682300545175e-08,4.197890185956805e-06,2.7839816168638803e-05,0.9999160457206386,0.9994433586589342,1279175.4535177585,6.4560273728190065,6.4560273728190065
83,830.0,114.05576923076923,0.1,0.001,2.787728453464605,9.272576996329217e-06,3.5276562992638604e-08,4.292498300879576e-06,2.8015249208967544e-05,0.9999141537189853,0.9994398519573452,1279055.8508244818,6.544695349653318,6.544695349653318
84,840.0,114.17692307692307,0.1,0.001,2.787823753260198,9.304443630027539e-06,3.612446459313636e-08,4.389156036066056e-06,2.8193131231886953e-05,0.9999122207321041,0.999436296316017,1278933.566547532,6.633939853758877,6.633939853758877
85,850.0,114.29807692307692,0.1,0.001,2.7879190530050044,9.336419778773718e-06,3.6990883590924875e-08,4.487902870540289e-06,2.837312300723563e-05,0.9999102459707231,0.9994326985162263,1278808.5432659423,6.723767184266654,6.723767184266654
86,860.0,114.41923076923077,0.1,0.001,2.788014352699028,9.368505818936155e-06,3.787618187395427e-08,4.588779737611894e-06,2.8555767238219046e-05,0.9999082286164989,0.9994290477105615,1278680.7224588399,6.814185344426473,6.814185344426473
87,870.0,114.54038461538461,0.1,0.001,2.7881096523422744,9.400702128176803e-06,3.8780727522815646e-08,4.691828387659227e-06,2.874072393701754e-05,0.9999061678347598,0.9994253506954525,1278550.0444845255,6.9052012465048405,6.9052012465048405
88,880.0,114.66153846153846,0.1,0.001,2.7882049519347487,9.433009085455445e-06,3.9704894900438715e-08,4.797090528016997e-06,2.8928236294987952e-05,0.999904062791708,0.9994216026103981,1278416.4485835868,6.996822557963851,6.996822557963851
89,890.0,114.7826923076923,0.1,0.001,2.7883002514764543,9.465427071034288e-06,4.0649064742824e-08,4.90460965039614e-06,2.9118540606994142e-05,0.999901912617874,0.9994177987328272,1278279.8728311944,7.089057678781319,7.089057678781319
90,900.0,114.90384615384616,0.1,0.001,2.7883955509673974,9.497956466482385e-06,4.1613624250820436e-08,5.014428403542452e-06,2.931101491768179e-05,0.9998997164606594,0.9994139514951942,1278140.2541626533,7.181913023052993,7.181913023052993
91,910.0,115.025,0.1,0.001,2.7884908504075825,9.53059765468009e-06,4.259896718295166e-08,5.126591787584534e-06,2.9506180592473588e-05,0.9998974734204573,0.9994100504768428,1277997.5283100738,7.275396640160491,7.275396640160491
92,920.0,115.14615384615385,0.1,0.001,2.7885861497970144,9.563351019823596e-06,4.360549394930603e-08,5.241144559262945e-06,2.9704264616513853e-05,0.9998951826025421,0.9994060911413963,1277851.6298114038,7.369517281006745,7.369517281006745
93,930.0,115.2673076923077,0.1,0.001,2.788681449135698,9.596216947429508e-06,4.463361170649307e-08,5.358132636219685e-06,2.99049308457283e-05,0.9998928430889876,0.9994020802084097,1277702.491980436,7.464282613445715,7.464282613445715
