"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirLHCP) []","dB(DirRHCP) []"
1.727,0.413,-180,122,-5.61322545636085,-10.4947586678372
1.727,0.413,-180,123,-5.83259420159929,-10.1814480683025
1.727,0.413,-180,124,-6.05789679732873,-9.87832454651725
1.727,0.413,-180,125,-6.28938464829961,-9.58501637906779
1.727,0.413,-180,126,-6.52731745707453,-9.30118264434936
1.727,0.413,-180,127,-6.77196370196596,-9.02650949798674
1.727,0.413,-180,128,-7.02360119630738,-8.76070693394906
1.727,0.413,-180,129,-7.28251773672278,-8.50350596127696
1.727,0.413,-180,130,-7.54901184873973,-8.25465613824515
1.727,0.413,-180,131,-7.82339363890082,-8.01392341541387
1.727,0.413,-180,132,-8.1059857634839,-7.78108824685692
1.727,0.413,-180,133,-8.39712452506358,-7.55594393525468
1.727,0.413,-180,134,-8.69716110945664,-7.33829518179499
1.727,0.413,-180,135,-9.00646297711542,-7.12795681615331
1.727,0.413,-180,136,-9.32541542479285,-6.92475268540229
1.727,0.413,-180,137,-9.65442333532752,-6.72851468366811
1.727,0.413,-180,138,-9.99391313571487,-6.53908190681619
1.727,0.413,-180,139,-10.3443349862712,-6.35629991850197
1.727,0.413,-180,140,-10.7061652266829,-6.18002011563359
1.727,0.413,-180,141,-11.079909108085,-6.01009918272156
1.727,0.413,-180,142,-11.4661038440285,-5.84639862578323
1.727,0.413,-180,143,-11.8653220172617,-5.68878437746627
1.727,0.413,-180,144,-12.2781753835891,-5.53712646588954
1.727,0.413,-180,145,-12.7053191185613,-5.39129874039808
1.727,0.413,-180,146,-13.1474565571268,-5.25117864801678
1.727,0.413,-180,147,-13.6053444802295,-5.11664705488352
1.727,0.413,-180,148,-14.0797990049385,-4.98758810736652
1.727,0.413,-180,149,-14.5717021348996,-4.86388912793654
1.727,0.413,-180,150,-15.0820090238455,-4.74544054118641
1.727,0.413,-180,151,-15.6117559936239,-4.63213582568101
1.727,0.413,-180,152,-16.1620693250106,-4.52387148758839
1.727,0.413,-180,153,-16.7341747970178,-4.42054705229936
1.727,0.413,-180,154,-17.3294078766553,-4.32206507049293
1.727,0.413,-180,155,-17.9492243373605,-4.22833113535768
1.727,0.413,-180,156,-18.5952108805476,-4.13925390793706
1.727,0.413,-180,157,-19.2690950028377,-4.05474514783541
1.727,0.413,-180,158,-19.9727528141044,-3.97471974680201
1.727,0.413,-180,159,-20.7082126435313,-3.89909576300422
1.727,0.413,-180,160,-21.4776508702739,-3.82779445410818
1.727,0.413,-180,161,-22.2833741553648,-3.76074030760368
1.727,0.413,-180,162,-23.1277786074309,-3.6978610671372
1.727,0.413,-180,163,-24.0132705563649,-3.63908775394948
1.727,0.413,-180,164,-24.9421242640654,-3.58435468284671
1.727,0.413,-180,165,-25.9162372462958,-3.53359947246229
1.727,0.413,-180,166,-26.9367216778968,-3.48676304988321
1.727,0.413,-180,167,-28.0032390184335,-3.44378965001463
1.727,0.413,-180,168,-29.1129473945816,-3.40462681033314
1.727,0.413,-180,169,-30.2589054422788,-3.36922536192534
1.727,0.413,-180,170,-31.4278202234326,-3.33753941792021
1.727,0.413,-180,171,-32.5972801894383,-3.30952636059373
1.727,0.413,-180,172,-33.7333159931136,-3.28514682854983
1.727,0.413,-180,173,-34.7904250516897,-3.26436470545845
1.727,0.413,-180,174,-35.7173725693708,-3.24714711185704
1.727,0.413,-180,175,-36.4706683322728,-3.2334644014963
1.727,0.413,-180,176,-37.0313225896805,-3.22329016363275
1.727,0.413,-180,177,-37.4137782059524,-3.21660123254389
1.727,0.413,-180,178,-37.6592653108956,-3.21337770536726
1.727,0.413,-180,179,-37.8183386603838,-3.21360296914903
1.727,0.413,-180,180,-37.9337400566793,-3.21726373773495
1.727,0.413,-180,181,-38.0295481047307,-3.22435009885518
1.727,0.413,-180,182,-38.1056127921943,-3.23485557145102
1.727,0.413,-180,183,-38.1347350062166,-3.24877717297612
1.727,0.413,-180,184,-38.0633352973784,-3.26611549608558
1.727,0.413,-180,185,-37.8210760304272,-3.28687479381349
1.727,0.413,-180,186,-37.3447285561187,-3.31106307204297
1.727,0.413,-180,187,-36.60898123302,-3.33869218780131
1.727,0.413,-180,188,-35.6412584752827,-3.36977795167605
1.727,0.413,-180,189,-34.5068719310564,-3.40434023245354
1.727,0.413,-180,190,-33.2795862297341,-3.44240306193676
1.727,0.413,-180,191,-32.0203782925655,-3.48399473781034
1.727,0.413,-180,192,-30.7709480533449,-3.52914792239063
1.727,0.413,-180,193,-29.5561724774371,-3.5778997351324
1.727,0.413,-180,194,-28.3890719206149,-3.63029183685931
1.727,0.413,-180,195,-27.2752069086531,-3.68637050384432
1.727,0.413,-180,196,-26.215772116949,-3.74618669008434
1.727,0.413,-180,197,-25.2095583348404,-3.80979607638734
1.727,0.413,-180,198,-24.2541295547804,-3.87725910521289
1.727,0.413,-180,199,-23.3465049978209,-3.94864100057308
1.727,0.413,-180,200,-22.4835428816918,-4.02401177269975
1.727,0.413,-180,201,-21.6621488065724,-4.10344620760906
1.727,0.413,-180,202,-20.8793825562526,-4.18702384213429
1.727,0.413,-180,203,-20.1325068336576,-4.27482892544514
1.727,0.413,-180,204,-19.4190033728043,-4.36695036851564
1.727,0.413,-180,205,-18.7365712293298,-4.46348168343637
1.727,0.413,-180,206,-18.0831158205958,-4.56452091488171
1.727,0.413,-180,207,-17.4567336399454,-4.67017056643379
1.727,0.413,-180,208,-16.855695434537,-4.78053752482657
1.727,0.413,-180,209,-16.2784293860371,-4.89573298550382
1.727,0.413,-180,210,-15.7235051033225,-5.01587238318157
1.727,0.413,-180,211,-15.1896188128489,-5.14107533137045
1.727,0.413,-180,212,-14.6755798901407,-5.27146557504789
1.727,0.413,-180,213,-14.1802987409074,-5.40717096087856
1.727,0.413,-180,214,-13.7027759686235,-5.54832342957006
1.727,0.413,-180,215,-13.2420927308154,-5.6950590351264
1.727,0.413,-180,216,-12.797402173093,-5.84751799593275
1.727,0.413,-180,217,-12.3679218287962,-6.00584478278227
1.727,0.413,-180,218,-11.9529268773914,-6.17018824914951
1.727,0.413,-180,219,-11.5517441631722,-6.34070180923817
1.727,0.413,-180,220,-11.163746885454,-6.51754366959655
1.727,0.413,-180,221,-10.7883498812244,-6.70087712041734
1.727,0.413,-180,222,-10.4250054305335,-6.89087089303386
1.727,0.413,-180,223,-10.0731995234798,-7.08769959061181
1.727,0.413,-180,224,-9.73244853537135,-7.29154419963034
1.727,0.413,-180,225,-9.40229626348216,-7.50259269047227
1.727,0.413,-180,226,-9.0823112848357,-7.72104071632291
1.727,0.413,-180,227,-8.77208459968848,-7.94709242063601
1.727,0.413,-180,228,-8.47122752993207,-8.18096136469738
1.727,0.413,-180,229,-8.17936984556566,-8.42287158833247
1.727,0.413,-180,230,-7.89615809578035,-8.67305881860996
1.727,0.413,-180,231,-7.62125412411512,-8.93177184353117
1.727,0.413,-180,232,-7.35433374964926,-9.199274070227
1.727,0.413,-180,233,-7.09508559834494,-9.47584529016959
1.727,0.413,-180,234,-6.84321007049104,-9.76178367742666
1.727,0.413,-180,235,-6.5984184317686,-10.0574080501265
1.727,0.413,-180,236,-6.36043201679368,-10.3630604301663
1.727,0.413,-180,237,-6.12898153512714,-10.6791089418956
1.727,0.413,-180,238,-5.90380647069858,-11.0059510971714
1.727,0.413,-180,239,-5.68465456639932,-11.3440175219335
1.727,0.413,-180,240,-5.47128138627382,-11.6937761884256
1.727,0.413,-180,241,-5.26344994830316,-12.055737227478
1.727,0.413,-180,242,-5.06093042124043,-12.4304584069169
1.727,0.413,-180,243,-4.86349987934419,-12.8185513750826
1.727,0.413,-180,244,-4.67094210917331,-13.2206887822951
1.727,0.413,-180,245,-4.48304746286939,-13.6376124071436
1.727,0.413,-180,246,-4.29961275257075,-14.0701424271923
1.727,0.413,-180,247,-4.12044118078719,-14.5191879822691
1.727,0.413,-180,248,-3.94534230172617,-14.9857591778945
1.727,0.413,-180,249,-3.77413200870794,-15.4709806577098
1.727,0.413,-180,250,-3.60663254294871,-15.9761068214827
1.727,0.413,-180,251,-3.44267251913373,-16.5025386525045
1.727,0.413,-180,252,-3.2820869633537,-17.0518418982767
1.727,0.413,-180,253,-3.1247173591439,-17.625765940116
1.727,0.413,-180,254,-2.9704116975504,-18.226261948693
1.727,0.413,-180,255,-2.81902452735593,-18.8554976037463
1.727,0.413,-180,256,-2.67041700183142,-19.5158633149619
1.727,0.413,-180,257,-2.52445691864016,-20.20996072981
1.727,0.413,-180,258,-2.38101874980876,-20.9405569473366
1.727,0.413,-180,259,-2.23998365899337,-21.7104747733405
1.727,0.413,-180,260,-2.10123950360684,-22.5223661673762
1.727,0.413,-180,261,-1.96468081973105,-23.3782753522867
1.727,0.413,-180,262,-1.83020878811275,-24.2788285442577
1.727,0.413,-180,263,-1.69773117992751,-25.2217756915687
1.727,0.413,-180,264,-1.56716228138705,-26.1994564097451
1.727,0.413,-180,265,-1.43842279665646,-27.1946420765948
1.727,0.413,-180,266,-1.31143972893121,-28.174441323234
1.727,0.413,-180,267,-1.18614623989504,-29.0834324118683
1.727,0.413,-180,268,-1.06248148813063,-29.8412262766471
1.727,0.413,-180,269,-0.940390447382183,-30.3550378307708
1.727,0.413,-180,270,-0.819823705865558,-30.5541089993121
1.727,0.413,-180,271,-0.700737248084685,-30.428404177353
1.727,0.413,-180,272,-0.583092220838535,-30.0349222824181
1.727,0.413,-180,273,-0.466854685289082,-29.4646443561338
1.727,0.413,-180,274,-0.35199535710565,-28.8037400637152
1.727,0.413,-180,275,-0.238489336805325,-28.1149000671382
1.727,0.413,-180,276,-0.12631583247216,-27.4367871998699
1.727,0.413,-180,277,-0.015457877062605,-26.7904355100265
1.727,0.413,-180,278,0.0940979575079273,-26.1857958456757
1.727,0.413,-180,279,0.202361847348288,-25.626434786973
1.727,0.413,-180,280,0.309341002571638,-25.1124676814775
1.727,0.413,-180,281,0.415039950301874,-24.6422685229968
1.727,0.413,-180,282,0.51946081286038,-24.2134285406796
1.727,0.413,-180,283,0.622603579429531,-23.8232777946071
1.727,0.413,-180,284,0.724466369645263,-23.4691593503704
1.727,0.413,-180,285,0.82504568773687,-23.1485655472288
1.727,0.413,-180,286,0.924336666003343,-22.8591984316655
1.727,0.413,-180,287,1.02233329658921,-22.598989248042
1.727,0.413,-180,288,1.11902865069561,-22.3660965135529
1.727,0.413,-180,289,1.21441508453097,-22.1588935523029
1.727,0.413,-180,290,1.30848443146894,-21.9759514894604
1.727,0.413,-180,291,1.40122818003606,-21.8160209580418
1.727,0.413,-180,292,1.49263763749758,-21.6780142217786
1.727,0.413,-180,293,1.58270407894477,-21.5609885480746
1.727,0.413,-180,294,1.67141888191176,-21.464131182267
1.727,0.413,-180,295,1.75877364666236,-21.3867460120252
1.727,0.413,-180,296,1.84476030238852,-21.3282418738255
1.727,0.413,-180,297,1.92937119965211,-21.2881223875181
1.727,0.413,-180,298,2.01259918948035,-21.2659771786439
