,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
1312,13120.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.545415335587056e+130,2.0393421164538178e+157,2.0393421164538178e+157
1313,13130.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,9.106897638737518e+130,6.065398467753339e+157,6.065398467753339e+157
1314,13140.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.3392346665277343e+131,1.8039669889521281e+158,1.8039669889521281e+158
1315,13150.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,6.008653047563737e+131,5.365347247226149e+158,5.365347247226149e+158
1316,13160.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.5434069938604397e+132,1.5957581962205813e+159,1.5957581962205813e+159
1317,13170.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,3.964457807500076e+132,4.746093968329188e+159,4.746093968329188e+159
1318,13180.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.018326712912997e+133,1.4115802763576727e+160,1.4115802763576727e+160
1319,13190.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,2.6157152997577197e+133,4.198313160039397e+160,4.198313160039397e+160
1320,13200.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,6.718832416577462e+133,1.24865965365004e+161,1.24865965365004e+161
1321,13210.0,251.6,0.0,1e-05,3.168807700000001,0.0005275711034522981,7.731256611282599e-05,0.008190783135903337,0.009463591133974424,0.8488984910986949,0.8275615261272351,1.7258265471870544e+134,3.713755670953346e+161,3.713755670953346e+161
