,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
256,2560.0,135.01538461538462,0.1,0,2.8042145665720235,1.678664861125891e-05,4.2411151302517564e-16,5.644223543133995e-07,0.9999887116166281,1280932.0442899058,24.324084073128354,24.324084073128354,5.644223543133995e-07,4.338478174789392e-05
257,2570.0,135.13653846153846,0.1,0,2.8043098576529015,1.684433865059095e-05,4.434961359614364e-16,5.66352179280942e-07,0.999988673020565,1280916.2418969935,24.46248243940363,24.46248243940363,5.66352179280942e-07,4.353311930821312e-05
258,2580.0,135.2576923076923,0.1,0,2.804405148683821,1.6902226951930446e-05,4.637296309025895e-16,5.682903151837894e-07,0.9999886342582869,1280900.385624599,24.601309204630432,24.601309204630432,5.682903151837894e-07,4.368209569531082e-05
259,2590.0,135.37884615384615,0.1,0,2.8045004396647846,1.6960314196642567e-05,4.848475161533103e-16,5.702317394173996e-07,0.9999885954302442,1280884.475382999,24.740564300860324,24.740564300860324,5.702317394173996e-07,4.383132484261792e-05
260,2600.0,135.5,0.1,0,2.804595730595799,1.701860106843415e-05,5.068867255543029e-16,5.72183800113297e-07,0.9999885563894764,1280868.5108774626,24.880249446730385,24.880249446730385,5.72183800113297e-07,4.398137157021993e-05
261,2610.0,135.62115384615385,0.1,0,2.8046910214768683,1.7077088253361646e-05,5.298856620186561e-16,5.741390324103369e-07,0.9999885172852787,1280852.4920215541,25.020364530023762,25.020364530023762,5.741390324103369e-07,4.413166208551446e-05
262,2620.0,135.7423076923077,0.1,0,2.8047863123079977,1.7135776439839406e-05,5.538842529813202e-16,5.761022916027057e-07,0.9999884780205465,1280836.4185933855,25.160910616202774,25.160910616202774,5.761022916027057e-07,4.428256959462451e-05
263,2630.0,135.86346153846154,0.1,0,2.804881603089191,1.7194666318647524e-05,5.789240078258979e-16,5.78073495907334e-07,0.9999884385969154,1280820.2903733684,25.301888741861728,25.301888741861728,5.78073495907334e-07,4.443408781122817e-05
264,2640.0,135.98461538461538,0.1,0,2.804976893820453,1.7253758582940193e-05,6.050480773550478e-16,5.800501371786921e-07,0.9999883990645478,1280804.1072119104,25.443299323653537,25.443299323653537,5.800501371786921e-07,4.458602394468637e-05
265,2650.0,136.10576923076923,0.1,0,2.805072184501789,1.7313053928253758e-05,6.323013153728516e-16,5.820321600232825e-07,0.9999883594245516,1280787.8689609775,25.58514275732605,25.58514275732605,5.820321600232825e-07,4.4738373737133016e-05
266,2660.0,136.22692307692307,0.1,0,2.8051674751332043,1.7372553052514933e-05,6.607303424495899e-16,5.840243309379447e-07,0.9999883195815978,1280771.5753395716,25.72742059155186,25.72742059155186,5.840243309379447e-07,4.489150356921109e-05
