,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
346,3460.0,145.91923076923075,0.0,0.042,3.0726382,2.644889536314024e-05,0.00019655216206625287,0.021003680408032216,0.021186681194305685,0.6569984575871421,0.6545982280191446,145.7687973659831,145.77067012437846,145.77067012437846
347,3470.0,146.0403846153846,0.0,0.042,3.07274845,2.653980519481173e-05,0.00019942581897171982,0.021306905428231066,0.021495320865421556,0.6530261473886104,0.650569973963868,145.89312490833066,145.894994932971,145.894994932971
348,3480.0,146.16153846153844,0.0,0.042,3.0728587000000007,2.6631027500686058e-05,0.00020233662095543286,0.021613894497695435,0.02180794165137255,0.6490289929859531,0.6465150298404075,146.01739571792984,146.01926363915828,146.01926363915828
349,3490.0,146.28269230769232,0.0,0.042,3.0729689500000004,2.672256335479593e-05,0.0002052849813556634,0.02192468334774843,0.022124587753376626,0.6450072854653959,0.6424336377682413,146.14161084200305,146.14347729122565,146.14347729122565
350,3500.0,146.40384615384616,0.0,0.042,3.0730792,2.6814413834865598e-05,0.00020827131730259953,0.022239307808516028,0.022445303777493132,0.640961327002887,0.6383260503015468,146.2657713160235,146.26763691974207,146.26763691974207
351,3510.0,146.525,0.0,0.042,3.07318945,2.6906580022323637e-05,0.0002112960497447347,0.022557803801991475,0.022770134737136776,0.6368914309279867,0.6341925305221023,146.3898781599235,146.39174353585543,146.39174353585543
352,3520.0,146.64615384615385,0.0,0.042,3.0732997,2.6999063002315835e-05,0.00021435960347536854,0.02288020733486586,0.023099126055238107,0.6327979217815072,0.6300333521326299,146.51393237575073,146.51579813036722,146.51579813036722
353,3530.0,146.7673076923077,0.0,0.042,3.0734099500000007,2.70918638637178e-05,0.00021746240715921184,0.02320655449112208,0.023432323567468844,0.6286811353666563,0.6258487995324361,146.63793494630494,146.63980167332718,146.63980167332718
354,3540.0,146.88846153846154,0.0,0.042,3.0735202000000004,2.718498369914768e-05,0.0002206048933591094,0.023536881424390144,0.023769773524291368,0.6245414187934255,0.6216391679036501,146.76188683443206,146.76375511397114,146.76375511397114
355,3550.0,147.0096153846154,0.0,0.042,3.07363045,2.7278423604979336e-05,0.00022378749856287062,0.023871224350061237,0.024111522595359404,0.6203791305159787,0.6174047632636283,146.8857889827551,146.8876593808685,146.8876593808685
356,3560.0,147.13076923076923,0.0,0.042,3.0737407,2.7372184681354887e-05,0.00022701066321020858,0.02420961953715756,0.024457617872260994,0.6161946403627979,0.6131459025338951,147.00964231369105,147.01151538222334,147.01151538222334
357,3570.0,147.25192307692308,0.0,0.042,3.0738509500000006,2.7466268032197993e-05,0.00023027483171979504,0.024552103299957443,0.02480810686804748,0.6119883295593205,0.6088629136434125,147.1334477296521,147.13532400623663,147.13532400623663
